##statDescriptions修正##,##statDescriptions修正##
Monsters have {0}% increased Area of Effect,モンスターの効果範囲が{0}%増加する
Monsters have {0}% reduced Area of Effect,モンスターの効果範囲が{0}%減少する
{0}% increased Reflected Physical Damage taken,反射により受ける物理ダメージが{0}%増加する
{0}% reduced Reflected Physical Damage taken,反射により受ける物理ダメージが{0}%減少する
Right ring slot: {0}% increased Reflected Physical Damage taken,右の指輪スロット: 反射される物理ダメージの被ダメージが {0}% 増加
Right ring slot: {0}% reduced Reflected Physical Damage taken,右の指輪スロット: 反射される物理ダメージの被ダメージが {0}% 減少
{0}% to Critical Strike Multiplier per {1} Strength on Unallocated Passives in Radius,範囲内の未割り当てパッシブにある {1} 筋力あたりクリティカルストライク倍率が {0}%
{0}% increased Attack Speed while Leeching,リーチ中はアタックスピードが{0}%増加する
{0}% reduced Attack Speed while Leeching,リーチ中はアタックスピードが{0}%減少する
Cannot be Stunned while Leeching,リーチ中はスタンを受けることがない
Removes Elemental Ailments when you use a Flask,フラスコ使用した時に元素系状態異常を取り除く
Adds {0} to {1} Physical Damage to Attacks and Spells per Siphoning Charge,サイフォニングチャージ1個ごとに{0}から{1}の物理ダメージをアタックおよびスペルに追加する
Enemies Taunted by you cannot Evade Attacks,プレイヤーにより挑発された敵はアタックを回避することができない
Gain a Void Charge every second,1秒ごとにヴォイドチャージを1個獲得する
Gain a Void Charge every {0} seconds,{0}秒ごとにヴォイドチャージを1個獲得する
{0}% increased Physical Damage over Time taken while moving,移動中は受ける物理継続ダメージが{0}%増加する
Impales you inflict last {0} additional Hits while using Pride,プライドを使用中にプレイヤーが付与した串刺しは追加でヒット{0}回分持続する
Remove a Curse when you use a Mana Flask,マナフラスコ使用した時に呪いを取り除く
Remove a random Elemental Ailment when you use a Mana Flask,マナフラスコ使用した時に元素系状態異常をランダムに1個取り除く
Arcane Surge grants {0}% increased Cast Speed,アーケインサージはキャスト速度を {0}% 増加させる
Minions deal {0}% more Damage,モンスターのダメージが{0}%上昇する
Minions deal {0}% less Damage,モンスターのダメージが{0}%低下する
Strength's Damage bonus applies to Projectile Attack Damage as well for Supported Skills,筋力のダメージボーナスは、サポートされているスキルに対して投射物攻撃ダメージにも適用される
Consecrated Ground you create causes Life Regeneration to,あなたが作成する聖なる地はライフ自動回復を
also Recover Energy Shield for you and Allies,あなたと味方のためにエナジーシールドも回復させる
Ring has {0}% chance to Shock,稲妻の輪は{0}%の確率で感電を付与する
{0}% of Physical Damage Converted to Lightning Damage while sphere is Shocked or Sapped,球体が感電またはサップ状態の間、物理ダメージの {0}% が雷ダメージに変換される
"Every {1} seconds, gain {0}% of Physical Damage",{1} 秒ごとに、物理ダメージの {0}% を得る
Skills Reserve Life instead of Mana,スキルはマナの代わりにライフをリザーブする
Skills that have dealt a Critical Strike in the past {0} seconds deal {1}% more Elemental Damage with Hits and Ailments,過去 {0} 秒間にクリティカルストライクを与えたスキルは、ヒットと異常状態による元素ダメージを {1}% より多く与える
Take {0}% less Damage over Time if you've started taking Damage over Time in the past second,過去1秒以内に継続ダメージを受け始めた場合、継続ダメージを {0}% 少なく受ける
Explosion deals {0}% more Damage with Hits per Explosive Arrow on Target,対象が受けているエクスプローシブアローごとに爆発のヒットによるダメージが{0}%上昇する
Consumes {0} Charge from {1} Life Flask,{1} ライフフラスコから {0} チャージ消費
Consumes {0} Charges from {1} Life Flask,{1} ライフフラスコから {0} チャージ消費
You have {0} Fortification,プレイヤーは堅牢化{0}スタックを持つ
{0} to maximum Fortification,最大堅牢化数 {0}
{0}% chance to Suppress Spell Damage per Fortification,堅牢化1スタックごとにスペルダメージ抑制確率 {0}%
Nearby Enemies have {0}% increased Life Regeneration Rate,近くの敵のライフ自動回復レートが{0}%増加する
Nearby Enemies have {0}% reduced Life Regeneration Rate,近くの敵はライフ自動回復率が {0}% 減少する
Mana Recovery from Regeneration is not applied,自動回復によるマナ回復は適用されない
{0}% chance to Avoid being Ignited while on Low Life,低ライフ時に{0}%の確率で発火を無効化する
Minions have {0}% increased Attack Speed when on Low Life,ミニオンは低ライフ時、攻撃速度が {0}% 増加
Minions have {0}% reduced Attack Speed when on Low Life,ミニオンは低ライフ時、攻撃速度が {0}% 減少
Minions have {0}% increased Cast Speed when on Low Life,ミニオンは低ライフ時、キャスト速度が {0}% 増加
Minions have {0}% reduced Cast Speed when on Low Life,ミニオンは低ライフ時、キャスト速度が {0}% 減少
This Attack and Minions have {0}% increased Attack Speed when on Low Life,この攻撃とミニオンは低ライフ時、攻撃速度が {0}% 増加
This Attack and Minions have {0}% reduced Attack Speed when on Low Life,この攻撃とミニオンは低ライフ時、攻撃速度が {0}% 減少
This Spell and Minions have {0}% increased Cast Speed when on Low Life,この呪文とミニオンは低ライフ時、キャスト速度が {0}% 増加
This Spell and Minions have {0}% reduced Cast Speed when on Low Life,この呪文とミニオンは低ライフ時、キャスト速度が {0}% 減少
